<sha256 _hashlib.HASH object @ 0x13e038c70>,"sellzone 20v 4.5a 85w charger for mac book pro retina 15"" & 17""- a1398, a1424 85 w adapter",1999.0,https://www.flipkart.com/sellzone-20v-4-5a-85w-charger-mac-book-pro-retina-15-17-a1398-a1424-85-w-adapter/p/itmafc2c05ac2248?pid=ACCGKTFCGQYJZMYX&lid=LSTACCGKTFCGQYJZMYXLFZIED&marketplace=FLIPKART&q=macbook+pro+charger&store=6bo%2Fai3%2F8p1&srno=s_1_15&otracker=search&fm=organic&iid=17cae19a-b736-432b-bbb9-73c28f41c72e.ACCGKTFCGQYJZMYX.SEARCH&ppt=None&ppn=None&ssid=uws3gqz1yo0000001680756371095&qH=603fb8a8de370702
<sha256 _hashlib.HASH object @ 0x13e038c50>,"tobo mag safe cord replacemen charger cable repair, 5 pin l shape connector, 85 w 60 w 45 w 85 adapter",683.0,https://www.flipkart.com/tobo-mag-safe-cord-replacemen-charger-cable-repair-5-pin-l-shape-connector-85-w-60-45-adapter/p/itmf6vff4s49v9sj?pid=ACCF6U3ZF5WZDVCZ&lid=LSTACCF6U3ZF5WZDVCZKOA1Q5&marketplace=FLIPKART&q=macbook+pro+charger&store=6bo%2Fai3%2F8p1&srno=s_1_16&otracker=search&fm=organic&iid=17cae19a-b736-432b-bbb9-73c28f41c72e.ACCF6U3ZF5WZDVCZ.SEARCH&ppt=None&ppn=None&ssid=uws3gqz1yo0000001680756371095&qH=603fb8a8de370702
<sha256 _hashlib.HASH object @ 0x13e038c30>,wefly 60w magnetic 2 ac adapter charger for macbook pro with 13-inch retina display 60 w adapter,1998.0,https://www.flipkart.com/wefly-60w-magnetic-2-ac-adapter-charger-macbook-pro-13-inch-retina-display-60-w/p/itmdab5754770bd3?pid=ACCGMVGUC3BNGRJA&lid=LSTACCGMVGUC3BNGRJATEVB0T&marketplace=FLIPKART&q=macbook+pro+charger&store=6bo%2Fai3%2F8p1&srno=s_1_17&otracker=search&fm=organic&iid=17cae19a-b736-432b-bbb9-73c28f41c72e.ACCGMVGUC3BNGRJA.SEARCH&ppt=None&ppn=None&ssid=uws3gqz1yo0000001680756371095&qH=603fb8a8de370702
<sha256 _hashlib.HASH object @ 0x13e038c70>,"wefly 20.3v3a 61w laptop adapter type c for macbook mb 13 a1706, a1708, a1989 models 61 w adapter",3299.0,https://www.flipkart.com/wefly-20-3v3a-61w-laptop-adapter-type-c-macbook-mb-13-a1706-a1708-a1989-models-61-w/p/itm718edc336d9d2?pid=ACCGMW6HZJTMZB9H&lid=LSTACCGMW6HZJTMZB9H6KSY2A&marketplace=FLIPKART&q=macbook+pro+charger&store=6bo%2Fai3%2F8p1&srno=s_1_18&otracker=search&fm=organic&iid=17cae19a-b736-432b-bbb9-73c28f41c72e.ACCGMW6HZJTMZB9H.SEARCH&ppt=None&ppn=None&ssid=uws3gqz1yo0000001680756371095&qH=603fb8a8de370702
<sha256 _hashlib.HASH object @ 0x13e038c50>,lapower 60w magsafe mb985ll/a charger 60 w adapter,1699.0,https://www.flipkart.com/lapower-60w-magsafe-mb985ll-a-charger-60-w-adapter/p/itmespcztznnheyz?pid=ACCESPCZZRUPCPZC&lid=LSTACCESPCZZRUPCPZCGBWA8V&marketplace=FLIPKART&q=macbook+pro+charger&store=6bo%2Fai3%2F8p1&srno=s_1_19&otracker=search&fm=organic&iid=17cae19a-b736-432b-bbb9-73c28f41c72e.ACCESPCZZRUPCPZC.SEARCH&ppt=None&ppn=None&ssid=uws3gqz1yo0000001680756371095&qH=603fb8a8de370702
<sha256 _hashlib.HASH object @ 0x13e038c30>,lapower mb061j/a 60w magsafe charger 60 w adapter,1699.0,https://www.flipkart.com/lapower-mb061j-a-60w-magsafe-charger-60-w-adapter/p/itmespcpnquhgtzc?pid=ACCESPCEKXZGNW2T&lid=LSTACCESPCEKXZGNW2TRLV3LZ&marketplace=FLIPKART&q=macbook+pro+charger&store=6bo%2Fai3%2F8p1&srno=s_1_20&otracker=search&fm=organic&iid=17cae19a-b736-432b-bbb9-73c28f41c72e.ACCESPCEKXZGNW2T.SEARCH&ppt=None&ppn=None&ssid=uws3gqz1yo0000001680756371095&qH=603fb8a8de370702
<sha256 _hashlib.HASH object @ 0x13e038c70>,"lapower pro13""mb990 60w magsafe charger 60 w adapter",1699.0,https://www.flipkart.com/lapower-pro13-mb990-60w-magsafe-charger-60-w-adapter/p/itmespd5hecrwhay?pid=ACCESPD5CUWNERWT&lid=LSTACCESPD5CUWNERWTO8NJXV&marketplace=FLIPKART&q=macbook+pro+charger&store=6bo%2Fai3%2F8p1&srno=s_1_21&otracker=search&fm=organic&iid=17cae19a-b736-432b-bbb9-73c28f41c72e.ACCESPD5CUWNERWT.SEARCH&ppt=None&ppn=None&ssid=uws3gqz1yo0000001680756371095&qH=603fb8a8de370702
<sha256 _hashlib.HASH object @ 0x13e038c50>,lapower mb991ta/a 60w magsafe charger 60 w adapter,1699.0,https://www.flipkart.com/lapower-mb991ta-a-60w-magsafe-charger-60-w-adapter/p/itmespden84ent7q?pid=ACCESPDEKXUCDG77&lid=LSTACCESPDEKXUCDG77L6B7MO&marketplace=FLIPKART&q=macbook+pro+charger&store=6bo%2Fai3%2F8p1&srno=s_1_22&otracker=search&fm=organic&iid=17cae19a-b736-432b-bbb9-73c28f41c72e.ACCESPDEKXUCDG77.SEARCH&ppt=None&ppn=None&ssid=uws3gqz1yo0000001680756371095&qH=603fb8a8de370702
<sha256 _hashlib.HASH object @ 0x13e038c30>,lapower mb467*/a 60w magsafe charger 60 w adapter,1699.0,https://www.flipkart.com/lapower-mb467-a-60w-magsafe-charger-60-w-adapter/p/itmespf9zwf2zp43?pid=ACCESPF9JWEJBYZE&lid=LSTACCESPF9JWEJBYZEJQMFGK&marketplace=FLIPKART&q=macbook+pro+charger&store=6bo%2Fai3%2F8p1&srno=s_1_23&otracker=search&fm=organic&iid=17cae19a-b736-432b-bbb9-73c28f41c72e.ACCESPF9JWEJBYZE.SEARCH&ppt=None&ppn=None&ssid=uws3gqz1yo0000001680756371095&qH=603fb8a8de370702
<sha256 _hashlib.HASH object @ 0x13e038c70>,lapower mb402*/a 60w magsafe charger 60 w adapter,1699.0,https://www.flipkart.com/lapower-mb402-a-60w-magsafe-charger-60-w-adapter/p/itmespf9bpzggpm8?pid=ACCESPF96QXSDJQG&lid=LSTACCESPF96QXSDJQGJCEK1I&marketplace=FLIPKART&q=macbook+pro+charger&store=6bo%2Fai3%2F8p1&srno=s_1_24&otracker=search&fm=organic&iid=17cae19a-b736-432b-bbb9-73c28f41c72e.ACCESPF96QXSDJQG.SEARCH&ppt=None&ppn=None&ssid=uws3gqz1yo0000001680756371095&qH=603fb8a8de370702
